object,right ascension,declination,F0,F1,F2
J0534+2200,83.63322,22.014461,29.946923,-3.77535E-10,1.1147E-20
J0835-4510,128.83588121,-45.17635419,11.1946499395,-1.5666E-11,1.028E-21
