object,right ascension,declination,F0,F0err,F1,F1err,F2,F2err,epoch
J0058-7218,14.57,-72.30167,45.940434278,6E-9,-6.2324E-11,6E-15,4.2E-21,2E-22,59408
J0058-7218,14.57,-72.30167,45.9429870,4E-7,-6.1E-11,6E-12,NaN,NaN,58924
