%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168307011   0.86518931  -0.09156644
1.4596800  0.3842200  1168308811   0.89267886  -0.21031028
1.4596800  0.3842200  1168310611   0.89518833  -0.32919341
1.4596800  0.3842200  1168312411   0.87175977  -0.44325927
1.4596800  0.3842200  1168314211   0.82304049  -0.54756945
1.4596800  0.3842200  1168316011   0.75130117  -0.63750947
1.4596800  0.3842200  1168317811   0.66026163  -0.70904475
1.4596800  0.3842200  1168319611   0.55486894  -0.75896299
1.4596800  0.3842200  1168321411   0.44099143  -0.78508407
1.4596800  0.3842200  1168331945  -0.07248825  -0.48014060
1.4596800  0.3842200  1168333745  -0.09145823  -0.37389541
1.4596800  0.3842200  1168335545  -0.08507314  -0.26300830
1.4596800  0.3842200  1168337345  -0.05472860  -0.15223601
1.4596800  0.3842200  1168339145  -0.00332293  -0.04602050
1.4596800  0.3842200  1168340945   0.06496693   0.05176984
1.4596800  0.3842200  1168342745   0.14498246   0.13803901
1.4596800  0.3842200  1168344545   0.23093840   0.21062338
1.4596800  0.3842200  1168346345   0.31683123   0.26836374
1.4596800  0.3842200  1168348145   0.39684910   0.31112856
1.4596800  0.3842200  1168349945   0.46577418   0.33975595
1.4596800  0.3842200  1168351745   0.51931810   0.35591942
1.4596800  0.3842200  1168353545   0.55443966   0.36197385
1.4596800  0.3842200  1168355345   0.56951034   0.36071131
1.4596800  0.3842200  1168357145   0.56442976   0.35512763
1.4596800  0.3842200  1168358945   0.54061961   0.34816557
1.4596800  0.3842200  1168360745   0.50088656   0.34246284
1.4596800  0.3842200  1168366018   0.33449426   0.34981921
1.4596800  0.3842200  1168378759   0.25309110   0.44344959
1.4596800  0.3842200  1168380559   0.31645405   0.43045250
